#           k/h    P           
 0.18749684E-01 0.25547529E+05
 0.18959174E-01 0.25465041E+05
 0.19171007E-01 0.25378691E+05
 0.19385206E-01 0.25288484E+05
 0.19601798E-01 0.25194414E+05
 0.19820811E-01 0.25096498E+05
 0.20042270E-01 0.24994730E+05
 0.20266203E-01 0.24889236E+05
 0.20492639E-01 0.24779840E+05
 0.20721605E-01 0.24666645E+05
 0.20953128E-01 0.24549674E+05
 0.21187240E-01 0.24428963E+05
 0.21423966E-01 0.24304533E+05
 0.21663338E-01 0.24176422E+05
 0.21905383E-01 0.24044660E+05
 0.22150133E-01 0.23909289E+05
 0.22397619E-01 0.23770361E+05
 0.22647869E-01 0.23627910E+05
 0.22900915E-01 0.23482004E+05
 0.23156788E-01 0.23332648E+05
 0.23415521E-01 0.23179977E+05
 0.23677144E-01 0.23024021E+05
 0.23941690E-01 0.22864842E+05
 0.24209192E-01 0.22702514E+05
 0.24479683E-01 0.22537121E+05
 0.24753196E-01 0.22368729E+05
 0.25029765E-01 0.22197422E+05
 0.25309425E-01 0.22023295E+05
 0.25592210E-01 0.21846432E+05
 0.25878152E-01 0.21666939E+05
 0.26167290E-01 0.21484896E+05
 0.26459660E-01 0.21300422E+05
 0.26755296E-01 0.21113621E+05
 0.27054233E-01 0.20924598E+05
 0.27356513E-01 0.20733479E+05
 0.27662169E-01 0.20540377E+05
 0.27971240E-01 0.20345420E+05
 0.28283766E-01 0.20148729E+05
 0.28599782E-01 0.19950439E+05
 0.28919330E-01 0.19750697E+05
 0.29242447E-01 0.19549627E+05
 0.29569175E-01 0.19347379E+05
 0.29899552E-01 0.19144092E+05
 0.30233623E-01 0.18939922E+05
 0.30571425E-01 0.18735018E+05
 0.30913001E-01 0.18529529E+05
 0.31258393E-01 0.18323619E+05
 0.31607646E-01 0.18117445E+05
 0.31960800E-01 0.17911158E+05
 0.32317903E-01 0.17704930E+05
 0.32678992E-01 0.17498912E+05
 0.33044115E-01 0.17293273E+05
 0.33413321E-01 0.17088178E+05
