#           k/h    P           
 0.72484778E-04 0.13540610E+03
 0.81003120E-04 0.15079379E+03
 0.90522532E-04 0.16792882E+03
 0.10116066E-03 0.18700908E+03
 0.11304896E-03 0.20825470E+03
 0.12633437E-03 0.23191043E+03
 0.14118107E-03 0.25824832E+03
 0.15777253E-03 0.28757053E+03
 0.17631381E-03 0.32021255E+03
 0.19703405E-03 0.35654660E+03
 0.22018931E-03 0.39698535E+03
 0.24606576E-03 0.44198550E+03
 0.27498318E-03 0.49205200E+03
 0.30729893E-03 0.54774237E+03
 0.34341242E-03 0.60967047E+03
 0.38376995E-03 0.67851099E+03
 0.42887023E-03 0.75500293E+03
 0.47927065E-03 0.83995276E+03
 0.53559407E-03 0.93423785E+03
 0.59853663E-03 0.10388073E+04
 0.66887605E-03 0.11546819E+04
 0.74748177E-03 0.12829528E+04
 0.83532510E-03 0.14247775E+04
 0.93349174E-03 0.15813723E+04
 0.10431948E-02 0.17539985E+04
 0.11657901E-02 0.19439447E+04
 0.13027927E-02 0.21524924E+04
 0.14558957E-02 0.23808784E+04
 0.16269912E-02 0.26302344E+04
 0.18181937E-02 0.29015129E+04
 0.20318662E-02 0.31954038E+04
 0.22706492E-02 0.35122219E+04
 0.25374936E-02 0.38517700E+04
 0.28356975E-02 0.42131826E+04
 0.31689461E-02 0.45947534E+04
 0.35413578E-02 0.49937466E+04
 0.39575347E-02 0.54062188E+04
 0.44226204E-02 0.58268682E+04
 0.44720350E-02 0.58691367E+04
 0.45220014E-02 0.59114106E+04
 0.45725256E-02 0.59536846E+04
 0.46236152E-02 0.59959521E+04
 0.46752747E-02 0.60382017E+04
 0.47275121E-02 0.60804282E+04
 0.47803330E-02 0.61226216E+04
 0.48337439E-02 0.61647749E+04
 0.48877518E-02 0.62068774E+04
 0.49423627E-02 0.62489224E+04
 0.49975840E-02 0.62908979E+04
 0.50534224E-02 0.63327983E+04
 0.51098848E-02 0.63746128E+04
 0.51669781E-02 0.64163320E+04
 0.52247089E-02 0.64579468E+04
 0.52830847E-02 0.64994468E+04
 0.53421133E-02 0.65408232E+04
 0.54018009E-02 0.65820635E+04
 0.54621557E-02 0.66231606E+04
 0.55231848E-02 0.66641030E+04
 0.55848956E-02 0.67048809E+04
 0.56472961E-02 0.67454829E+04
 0.57103937E-02 0.67858999E+04
 0.57741962E-02 0.68261191E+04
 0.58387117E-02 0.68661318E+04
 0.59039481E-02 0.69059243E+04
 0.59699132E-02 0.69454883E+04
 0.60366155E-02 0.69848110E+04
 0.61040632E-02 0.70238809E+04
 0.61722645E-02 0.70626885E+04
 0.62412275E-02 0.71012197E+04
 0.63109612E-02 0.71394614E+04
 0.63814740E-02 0.71774062E+04
 0.64527746E-02 0.72150396E+04
 0.65248716E-02 0.72523506E+04
 0.65977746E-02 0.72893252E+04
 0.66714920E-02 0.73259526E+04
 0.67460332E-02 0.73622197E+04
 0.68214070E-02 0.73981147E+04
 0.68976232E-02 0.74336240E+04
 0.69746906E-02 0.74687378E+04
 0.70526195E-02 0.75034390E+04
 0.71314187E-02 0.75377158E+04
 0.72110984E-02 0.75715581E+04
 0.72916686E-02 0.76049507E+04
 0.73731388E-02 0.76378789E+04
 0.74555194E-02 0.76703330E+04
 0.75388206E-02 0.77022974E+04
 0.76230522E-02 0.77337588E+04
 0.77082254E-02 0.77647051E+04
 0.77943499E-02 0.77951211E+04
 0.78814365E-02 0.78249932E+04
 0.79694968E-02 0.78543066E+04
 0.80585405E-02 0.78830508E+04
 0.81485789E-02 0.79112075E+04
 0.82396232E-02 0.79387676E+04
 0.83316853E-02 0.79657114E+04
 0.84247757E-02 0.79920317E+04
 0.85189063E-02 0.80177085E+04
 0.86140884E-02 0.80427295E+04
 0.87103341E-02 0.80670801E+04
 0.88076554E-02 0.80907471E+04
 0.89060646E-02 0.81137158E+04
 0.90055726E-02 0.81359707E+04
 0.91061918E-02 0.81574956E+04
 0.92079360E-02 0.81782793E+04
 0.93108173E-02 0.81983066E+04
 0.94148479E-02 0.82175635E+04
 0.95200399E-02 0.82426299E+04
 0.96264081E-02 0.82603340E+04
 0.97339647E-02 0.82772129E+04
 0.98427236E-02 0.82932549E+04
 0.99526970E-02 0.83084463E+04
 0.10063899E-01 0.83227627E+04
 0.10176343E-01 0.83362031E+04
 0.10290044E-01 0.83487500E+04
 0.10405016E-01 0.83603848E+04
 0.10521271E-01 0.83710938E+04
 0.10638827E-01 0.83808633E+04
 0.10757695E-01 0.83896787E+04
 0.10877891E-01 0.83975254E+04
 0.10999431E-01 0.84043926E+04
 0.11122328E-01 0.84102627E+04
 0.11246598E-01 0.84151221E+04
 0.11372258E-01 0.84189609E+04
 0.11499321E-01 0.84217637E+04
 0.11627804E-01 0.84235176E+04
 0.11757722E-01 0.84242090E+04
 0.11889092E-01 0.84238281E+04
 0.12021929E-01 0.84223594E+04
 0.12156251E-01 0.84183047E+04
 0.12292074E-01 0.84145820E+04
 0.12429414E-01 0.84097393E+04
 0.12568288E-01 0.84037627E+04
 0.12708715E-01 0.83966455E+04
 0.12850710E-01 0.83883760E+04
 0.12994292E-01 0.83789453E+04
 0.13139478E-01 0.83682764E+04
 0.13286287E-01 0.83564951E+04
 0.13434735E-01 0.83435234E+04
 0.13584842E-01 0.83293545E+04
 0.13736627E-01 0.83139844E+04
 0.13890107E-01 0.82973994E+04
 0.14045302E-01 0.82795967E+04
 0.14202232E-01 0.82605693E+04
 0.14360914E-01 0.82403105E+04
 0.14521369E-01 0.82188145E+04
 0.14683617E-01 0.81960771E+04
 0.14847678E-01 0.81725381E+04
 0.15013573E-01 0.81473213E+04
 0.15181321E-01 0.81208491E+04
