#           k/h    P           
 0.18749684E-01 0.20955627E+05
 0.18959174E-01 0.20828521E+05
 0.19171007E-01 0.20698090E+05
 0.19385206E-01 0.20564359E+05
 0.19601798E-01 0.20427373E+05
 0.19820811E-01 0.20287176E+05
 0.20042270E-01 0.20143811E+05
 0.20266203E-01 0.19997422E+05
 0.20492639E-01 0.19847877E+05
 0.20721605E-01 0.19695320E+05
 0.20953128E-01 0.19539803E+05
 0.21187240E-01 0.19381391E+05
 0.21423966E-01 0.19220133E+05
 0.21663338E-01 0.19056105E+05
 0.21905383E-01 0.18889361E+05
 0.22150133E-01 0.18719967E+05
 0.22397619E-01 0.18548006E+05
 0.22647869E-01 0.18373523E+05
 0.22900915E-01 0.18196611E+05
 0.23156788E-01 0.18017301E+05
 0.23415521E-01 0.17835732E+05
 0.23677144E-01 0.17651959E+05
 0.23941690E-01 0.17466055E+05
 0.24209192E-01 0.17278115E+05
 0.24479683E-01 0.17088225E+05
 0.24753196E-01 0.16896465E+05
 0.25029765E-01 0.16702941E+05
 0.25309425E-01 0.16507756E+05
 0.25592210E-01 0.16311002E+05
 0.25878152E-01 0.16112805E+05
 0.26167290E-01 0.15913249E+05
 0.26459660E-01 0.15712470E+05
 0.26755296E-01 0.15510580E+05
 0.27054233E-01 0.15307696E+05
 0.27356513E-01 0.15103922E+05
 0.27662169E-01 0.14899449E+05
 0.27971240E-01 0.14694371E+05
 0.28283766E-01 0.14488818E+05
 0.28599782E-01 0.14282929E+05
 0.28919330E-01 0.14076836E+05
 0.29242447E-01 0.13870674E+05
 0.29569175E-01 0.13664573E+05
 0.29899552E-01 0.13458668E+05
 0.30233623E-01 0.13253096E+05
 0.30571425E-01 0.13047979E+05
 0.30913001E-01 0.12843451E+05
 0.31258393E-01 0.12639640E+05
 0.31607646E-01 0.12436670E+05
 0.31960800E-01 0.12234661E+05
 0.32317903E-01 0.12033741E+05
 0.32678992E-01 0.11834024E+05
 0.33044115E-01 0.11635636E+05
 0.33413321E-01 0.11438688E+05
 0.33786651E-01 0.11243296E+05
 0.34164149E-01 0.11049568E+05
 0.34545869E-01 0.10857621E+05
 0.34931853E-01 0.10667556E+05
 0.35322148E-01 0.10479479E+05
 0.35716806E-01 0.10293491E+05
 0.36115870E-01 0.10109685E+05
 0.36519397E-01 0.99281562E+04
 0.36927432E-01 0.97489922E+04
 0.37340023E-01 0.95722773E+04
 0.37757225E-01 0.93980889E+04
 0.38179088E-01 0.92265020E+04
 0.38605668E-01 0.90575840E+04
 0.39037012E-01 0.88914043E+04
 0.39473172E-01 0.87280156E+04
 0.39914209E-01 0.85674805E+04
 0.40360175E-01 0.84098389E+04
 0.40811121E-01 0.82551367E+04
 0.41267108E-01 0.81034092E+04
 0.41728187E-01 0.79546851E+04
 0.42194419E-01 0.78089834E+04
 0.42665862E-01 0.76663164E+04
 0.43142568E-01 0.75266895E+04
 0.43624602E-01 0.73900996E+04
 0.44112023E-01 0.72565376E+04
 0.44604890E-01 0.71259834E+04
 0.45103267E-01 0.69984141E+04
 0.45607205E-01 0.68737979E+04
 0.46116780E-01 0.67520986E+04
 0.46632044E-01 0.66332749E+04
 0.47153067E-01 0.65172798E+04
 0.47679912E-01 0.64040615E+04
 0.48212644E-01 0.62935581E+04
 0.48751328E-01 0.61857100E+04
 0.49296029E-01 0.60804424E+04
 0.49846817E-01 0.59776792E+04
 0.50403759E-01 0.58773345E+04
 0.50966922E-01 0.57793140E+04
 0.51536381E-01 0.56835210E+04
 0.52112199E-01 0.55898467E+04
 0.52694455E-01 0.54981831E+04
 0.53283211E-01 0.54084136E+04
 0.53878549E-01 0.53204199E+04
 0.54480538E-01 0.52340801E+04
 0.55089254E-01 0.51492744E+04
 0.55704769E-01 0.50658755E+04
 0.56327160E-01 0.49837603E+04
 0.57222035E-01 0.48692290E+04
 0.58116909E-01 0.47623735E+04
 0.59011783E-01 0.46547402E+04
 0.59906658E-01 0.45498623E+04
 0.60801532E-01 0.44473525E+04
 0.61696403E-01 0.43468652E+04
 0.62591277E-01 0.42480977E+04
 0.63486151E-01 0.41507798E+04
 0.64381026E-01 0.40546882E+04
 0.65275900E-01 0.39596350E+04
 0.66170774E-01 0.38654717E+04
 0.67065649E-01 0.37720898E+04
 0.67960523E-01 0.36794121E+04
 0.68855397E-01 0.35874011E+04
 0.69750272E-01 0.34960393E+04
 0.70645146E-01 0.34053401E+04
 0.71540013E-01 0.33153325E+04
 0.72434887E-01 0.32260669E+04
 0.73329762E-01 0.31375945E+04
 0.74224636E-01 0.30500266E+04
 0.75119510E-01 0.29634441E+04
 0.76014385E-01 0.28779519E+04
 0.76909259E-01 0.27936604E+04
 0.77804133E-01 0.27106853E+04
 0.78699008E-01 0.26291392E+04
 0.79593882E-01 0.25491353E+04
 0.80488756E-01 0.24707805E+04
 0.81383631E-01 0.23941782E+04
 0.82278505E-01 0.23194255E+04
 0.83173379E-01 0.22466099E+04
 0.84068254E-01 0.21758125E+04
 0.84963121E-01 0.21071023E+04
 0.85857995E-01 0.20405415E+04
 0.86752869E-01 0.19761788E+04
 0.87647744E-01 0.19140536E+04
 0.88542618E-01 0.18541929E+04
 0.89437492E-01 0.17966108E+04
 0.90332367E-01 0.17413160E+04
 0.91227241E-01 0.16883011E+04
 0.92122115E-01 0.16375491E+04
 0.93016990E-01 0.15890321E+04
 0.93911864E-01 0.15427146E+04
 0.94806738E-01 0.14985530E+04
 0.95701613E-01 0.14564965E+04
 0.96596487E-01 0.14164875E+04
 0.97491361E-01 0.13784633E+04
 0.98386228E-01 0.13423539E+04
 0.99281102E-01 0.13080861E+04
 0.10017598E+00 0.12755818E+04
 0.10107085E+00 0.12447600E+04
 0.10196573E+00 0.12155370E+04
 0.10286060E+00 0.11878284E+04
 0.10375547E+00 0.11615476E+04
 0.10465035E+00 0.11366075E+04
 0.10554522E+00 0.11129213E+04
 0.10644010E+00 0.10904021E+04
 0.10733497E+00 0.10689642E+04
 0.10822985E+00 0.10485225E+04
 0.10912472E+00 0.10289940E+04
 0.11001959E+00 0.10102971E+04
 0.11091446E+00 0.99235284E+03
 0.11180934E+00 0.97508508E+03
 0.11270421E+00 0.95842017E+03
 0.11359908E+00 0.94228864E+03
 0.11449396E+00 0.92662408E+03
 0.11538883E+00 0.91136487E+03
 0.11628371E+00 0.89645282E+03
 0.11717858E+00 0.88183423E+03
 0.11807346E+00 0.86745929E+03
 0.11896833E+00 0.85328253E+03
 0.11986320E+00 0.83926337E+03
 0.12075808E+00 0.82536487E+03
 0.12165295E+00 0.81155542E+03
 0.12254783E+00 0.79780829E+03
 0.12344270E+00 0.78410065E+03
 0.12433757E+00 0.77041449E+03
 0.12523244E+00 0.75673633E+03
 0.12612732E+00 0.74305603E+03
 0.12702219E+00 0.72936810E+03
 0.12791707E+00 0.71567053E+03
 0.12881194E+00 0.70196442E+03
 0.12970681E+00 0.68825439E+03
 0.13060169E+00 0.67454797E+03
 0.13149656E+00 0.66085535E+03
 0.13239144E+00 0.64718860E+03
 0.13328631E+00 0.63356238E+03
 0.13418119E+00 0.61999268E+03
 0.13507606E+00 0.60649683E+03
 0.13597094E+00 0.59309320E+03
 0.13686581E+00 0.57980096E+03
 0.13776068E+00 0.56663922E+03
 0.13865556E+00 0.55362720E+03
 0.13955043E+00 0.54078394E+03
 0.14044531E+00 0.52812811E+03
 0.14134018E+00 0.51567773E+03
 0.14223506E+00 0.50345007E+03
 0.14312993E+00 0.49146136E+03
 0.14402479E+00 0.47972672E+03
 0.14491966E+00 0.46826004E+03
 0.14581454E+00 0.45707336E+03
 0.14670941E+00 0.44617752E+03
 0.14760429E+00 0.43558167E+03
 0.14849916E+00 0.42529315E+03
 0.14939404E+00 0.41531815E+03
 0.15028891E+00 0.40566104E+03
 0.15118378E+00 0.39632434E+03
 0.15207866E+00 0.38730948E+03
 0.15297353E+00 0.37861624E+03
 0.15386841E+00 0.37024286E+03
 0.15476328E+00 0.36218643E+03
 0.15565816E+00 0.35444244E+03
 0.15655303E+00 0.34700562E+03
 0.15744790E+00 0.33986926E+03
 0.15834278E+00 0.33302567E+03
 0.15923765E+00 0.32646631E+03
 0.16013253E+00 0.32018179E+03
 0.16102740E+00 0.31416208E+03
 0.16192228E+00 0.30839655E+03
 0.16281715E+00 0.30287396E+03
 0.16371202E+00 0.29758279E+03
 0.16460690E+00 0.29251096E+03
 0.16550177E+00 0.28764633E+03
 0.16639665E+00 0.28297635E+03
 0.16729152E+00 0.27848840E+03
 0.16818640E+00 0.27416995E+03
 0.16908127E+00 0.27000851E+03
 0.16997615E+00 0.26599170E+03
 0.17087100E+00 0.26210748E+03
 0.17176588E+00 0.25834393E+03
 0.17266075E+00 0.25468961E+03
 0.17355563E+00 0.25113329E+03
 0.17445050E+00 0.24766434E+03
 0.17534538E+00 0.24427255E+03
 0.17624025E+00 0.24094814E+03
 0.17713512E+00 0.23768202E+03
 0.17803000E+00 0.23446571E+03
 0.17892487E+00 0.23129124E+03
 0.17981975E+00 0.22815144E+03
 0.18071462E+00 0.22503976E+03
 0.18160950E+00 0.22195024E+03
 0.18250437E+00 0.21887779E+03
 0.18339925E+00 0.21581804E+03
 0.18429412E+00 0.21276709E+03
 0.18518899E+00 0.20972195E+03
 0.18608387E+00 0.20668002E+03
 0.18697874E+00 0.20363963E+03
 0.18787362E+00 0.20059959E+03
 0.18876849E+00 0.19755928E+03
 0.18966337E+00 0.19451880E+03
 0.19055824E+00 0.19147865E+03
 0.19145311E+00 0.18843987E+03
 0.19234799E+00 0.18540388E+03
 0.19324286E+00 0.18237260E+03
 0.19413774E+00 0.17934814E+03
 0.19503261E+00 0.17633307E+03
 0.19592749E+00 0.17333000E+03
 0.19682235E+00 0.17034195E+03
 0.19771722E+00 0.16737202E+03
 0.19861209E+00 0.16442340E+03
 0.19950697E+00 0.16149942E+03
 0.20040184E+00 0.15860339E+03
 0.20129672E+00 0.15573862E+03
 0.20219159E+00 0.15290828E+03
 0.20308647E+00 0.15011566E+03
 0.20398134E+00 0.14736368E+03
 0.20487621E+00 0.14465523E+03
 0.20577109E+00 0.14199306E+03
 0.20666596E+00 0.13937958E+03
 0.20756084E+00 0.13681706E+03
 0.20845571E+00 0.13430763E+03
 0.20935059E+00 0.13185303E+03
 0.21024546E+00 0.12945482E+03
 0.21301180E+00 0.12241026E+03
 0.21581456E+00 0.11585599E+03
 0.21865419E+00 0.10981261E+03
 0.22153117E+00 0.10427837E+03
 0.22444601E+00 0.99229935E+02
 0.22739920E+00 0.94625191E+02
 0.23039125E+00 0.90407417E+02
 0.23342268E+00 0.86510162E+02
 0.23649399E+00 0.82862221E+02
 0.23960570E+00 0.79393639E+02
 0.24275836E+00 0.76041122E+02
 0.24595250E+00 0.72752724E+02
 0.24918868E+00 0.69491684E+02
 0.25246742E+00 0.66238579E+02
 0.25578931E+00 0.62991192E+02
 0.25915492E+00 0.59763199E+02
 0.26256481E+00 0.56580528E+02
 0.26601955E+00 0.53476635E+02
 0.26951978E+00 0.50487370E+02
 0.27306601E+00 0.47645706E+02
 0.27665895E+00 0.44977543E+02
 0.28029916E+00 0.42498859E+02
 0.28398722E+00 0.40213921E+02
