#           k/h    P           
 0.18749684E-01 0.97536182E+04
 0.18959174E-01 0.97232480E+04
 0.19171007E-01 0.96914072E+04
 0.19385206E-01 0.96580986E+04
 0.19601798E-01 0.96233174E+04
 0.19820811E-01 0.95870693E+04
 0.20042270E-01 0.95493525E+04
 0.20266203E-01 0.95102148E+04
 0.20492639E-01 0.94695850E+04
 0.20721605E-01 0.94275078E+04
 0.20953128E-01 0.93839873E+04
 0.21187240E-01 0.93390361E+04
 0.21423966E-01 0.92926611E+04
 0.21663338E-01 0.92448779E+04
 0.21905383E-01 0.91956963E+04
 0.22150133E-01 0.91451348E+04
 0.22397619E-01 0.90932080E+04
 0.22647869E-01 0.90399336E+04
 0.22900915E-01 0.89853301E+04
 0.23156788E-01 0.89294053E+04
 0.23415521E-01 0.88722061E+04
 0.23677144E-01 0.88137451E+04
 0.23941690E-01 0.87540449E+04
 0.24209192E-01 0.86931357E+04
 0.24479683E-01 0.86310449E+04
 0.24753196E-01 0.85677988E+04
 0.25029765E-01 0.85034326E+04
 0.25309425E-01 0.84379766E+04
 0.25592210E-01 0.83714668E+04
 0.25878152E-01 0.83039395E+04
 0.26167290E-01 0.82354297E+04
 0.26459660E-01 0.81659746E+04
 0.26755296E-01 0.80956182E+04
 0.27054233E-01 0.80244019E+04
 0.27356513E-01 0.79523677E+04
 0.27662169E-01 0.78795645E+04
 0.27971240E-01 0.78060342E+04
 0.28283766E-01 0.77318291E+04
 0.28599782E-01 0.76569941E+04
 0.28919330E-01 0.75815874E+04
 0.29242447E-01 0.75056558E+04
 0.29569175E-01 0.74292563E+04
 0.29899552E-01 0.73524429E+04
 0.30233623E-01 0.72752734E+04
 0.30571425E-01 0.71978047E+04
 0.30913001E-01 0.71200942E+04
 0.31258393E-01 0.70422041E+04
 0.31607646E-01 0.69641919E+04
 0.31960800E-01 0.68861187E+04
 0.32317903E-01 0.68080498E+04
 0.32678992E-01 0.67300420E+04
 0.33044115E-01 0.66521626E+04
 0.33413321E-01 0.65744692E+04
 0.33786651E-01 0.64970283E+04
 0.34164149E-01 0.64198984E+04
 0.34545869E-01 0.63431436E+04
 0.34931853E-01 0.62668242E+04
 0.35322148E-01 0.61910010E+04
 0.35716806E-01 0.61157358E+04
 0.36115870E-01 0.60410850E+04
 0.36519397E-01 0.59671089E+04
 0.36927432E-01 0.58938628E+04
 0.37340023E-01 0.58214019E+04
 0.37757225E-01 0.57497803E+04
 0.38179088E-01 0.56790508E+04
 0.38605668E-01 0.56092637E+04
 0.39037012E-01 0.55404668E+04
 0.39473172E-01 0.54727051E+04
 0.39914209E-01 0.54060254E+04
 0.40360175E-01 0.53404658E+04
 0.40811121E-01 0.52760674E+04
 0.41267108E-01 0.52128643E+04
 0.41728187E-01 0.51508901E+04
 0.42194419E-01 0.50901753E+04
 0.42665862E-01 0.50307456E+04
 0.43142568E-01 0.49726235E+04
 0.43624602E-01 0.49158301E+04
 0.44112023E-01 0.48603799E+04
 0.44604890E-01 0.48062852E+04
