#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.742832E-04   0.153129E+08   0.153129E+08   0.200209E+08   0.200201E+08   0.153124E+08   0.153129E+08   0.153129E+08   0.153206E+08  -0.544983E+00   0.116349E+08   0.116349E+08   0.628736E-01
   0.830129E-04   0.153127E+08   0.153127E+08   0.199230E+08   0.199221E+08   0.153117E+08   0.153127E+08   0.153127E+08   0.153203E+08  -0.544973E+00   0.116347E+08   0.116347E+08   0.702443E-01
   0.927685E-04   0.153124E+08   0.153124E+08   0.198015E+08   0.198003E+08   0.153109E+08   0.153124E+08   0.153124E+08   0.153200E+08  -0.544960E+00   0.116345E+08   0.116345E+08   0.784741E-01
   0.103671E-03   0.153120E+08   0.153120E+08   0.196507E+08   0.196492E+08   0.153098E+08   0.153120E+08   0.153120E+08   0.153195E+08  -0.544944E+00   0.116342E+08   0.116342E+08   0.876611E-01
   0.115854E-03   0.153116E+08   0.153116E+08   0.194639E+08   0.194620E+08   0.153085E+08   0.153116E+08   0.153116E+08   0.153190E+08  -0.544924E+00   0.116339E+08   0.116339E+08   0.979139E-01
   0.129469E-03   0.153110E+08   0.153110E+08   0.192329E+08   0.192306E+08   0.153069E+08   0.153110E+08   0.153110E+08   0.153183E+08  -0.544899E+00   0.116335E+08   0.116335E+08   0.109353E+00
   0.144684E-03   0.153103E+08   0.153103E+08   0.189480E+08   0.189452E+08   0.153048E+08   0.153103E+08   0.153103E+08   0.153175E+08  -0.544867E+00   0.116329E+08   0.116329E+08   0.122109E+00
   0.161687E-03   0.153094E+08   0.153094E+08   0.185977E+08   0.185944E+08   0.153023E+08   0.153094E+08   0.153094E+08   0.153165E+08  -0.544829E+00   0.116323E+08   0.116323E+08   0.136328E+00
   0.180688E-03   0.153083E+08   0.153083E+08   0.181688E+08   0.181648E+08   0.152991E+08   0.153083E+08   0.153083E+08   0.153152E+08  -0.544781E+00   0.116314E+08   0.116314E+08   0.152167E+00
   0.201923E-03   0.153070E+08   0.153070E+08   0.176462E+08   0.176413E+08   0.152951E+08   0.153069E+08   0.153070E+08   0.153136E+08  -0.544721E+00   0.116304E+08   0.116304E+08   0.169798E+00
   0.225652E-03   0.153053E+08   0.153053E+08   0.170133E+08   0.170076E+08   0.152902E+08   0.153052E+08   0.153053E+08   0.153117E+08  -0.544647E+00   0.116291E+08   0.116291E+08   0.189406E+00
   0.252171E-03   0.153032E+08   0.153031E+08   0.162529E+08   0.162462E+08   0.152841E+08   0.153031E+08   0.153032E+08   0.153093E+08  -0.544555E+00   0.116275E+08   0.116275E+08   0.211186E+00
   0.281806E-03   0.153005E+08   0.153005E+08   0.153483E+08   0.153406E+08   0.152764E+08   0.153004E+08   0.153005E+08   0.153063E+08  -0.544442E+00   0.116254E+08   0.116254E+08   0.235350E+00
   0.314923E-03   0.152973E+08   0.152973E+08   0.142856E+08   0.142768E+08   0.152669E+08   0.152971E+08   0.152973E+08   0.153026E+08  -0.544302E+00   0.116230E+08   0.116230E+08   0.262113E+00
   0.351933E-03   0.152933E+08   0.152932E+08   0.130567E+08   0.130472E+08   0.152551E+08   0.152931E+08   0.152933E+08   0.152981E+08  -0.544131E+00   0.116199E+08   0.116199E+08   0.291700E+00
   0.393291E-03   0.152883E+08   0.152883E+08   0.116643E+08   0.116542E+08   0.152404E+08   0.152881E+08   0.152883E+08   0.152925E+08  -0.543921E+00   0.116161E+08   0.116161E+08   0.324338E+00
   0.439511E-03   0.152822E+08   0.152822E+08   0.101270E+08   0.101170E+08   0.152222E+08   0.152819E+08   0.152822E+08   0.152858E+08  -0.543666E+00   0.116114E+08   0.116114E+08   0.360254E+00
   0.491162E-03   0.152747E+08   0.152746E+08   0.848587E+07   0.847671E+07   0.151998E+08   0.152743E+08   0.152747E+08   0.152776E+08  -0.543357E+00   0.116056E+08   0.116056E+08   0.399671E+00
   0.548882E-03   0.152655E+08   0.152654E+08   0.680919E+07   0.680182E+07   0.151720E+08   0.152650E+08   0.152655E+08   0.152676E+08  -0.542984E+00   0.115985E+08   0.115985E+08   0.442811E+00
   0.613387E-03   0.152543E+08   0.152542E+08   0.519290E+07   0.518830E+07   0.151379E+08   0.152537E+08   0.152543E+08   0.152557E+08  -0.542537E+00   0.115898E+08   0.115898E+08   0.489892E+00
   0.685471E-03   0.152407E+08   0.152406E+08   0.375233E+07   0.375115E+07   0.150961E+08   0.152400E+08   0.152406E+08   0.152414E+08  -0.542005E+00   0.115793E+08   0.115793E+08   0.541150E+00
   0.766027E-03   0.152242E+08   0.152242E+08   0.260014E+07   0.260229E+07   0.150450E+08   0.152234E+08   0.152242E+08   0.152244E+08  -0.541375E+00   0.115666E+08   0.115666E+08   0.596846E+00
   0.856050E-03   0.152045E+08   0.152044E+08   0.180988E+07   0.181415E+07   0.149828E+08   0.152035E+08   0.152045E+08   0.152042E+08  -0.540631E+00   0.115514E+08   0.115514E+08   0.657299E+00
   0.956652E-03   0.151809E+08   0.151808E+08   0.137422E+07   0.137826E+07   0.149075E+08   0.151797E+08   0.151809E+08   0.151802E+08  -0.539757E+00   0.115331E+08   0.115331E+08   0.722904E+00
   0.106908E-02   0.151529E+08   0.151528E+08   0.118330E+07   0.118456E+07   0.148168E+08   0.151513E+08   0.151529E+08   0.151518E+08  -0.538731E+00   0.115115E+08   0.115115E+08   0.794147E+00
   0.119471E-02   0.151197E+08   0.151195E+08   0.105952E+07   0.105695E+07   0.147082E+08   0.151178E+08   0.151197E+08   0.151182E+08  -0.537526E+00   0.114859E+08   0.114859E+08   0.871583E+00
   0.133512E-02   0.150806E+08   0.150804E+08   0.862394E+06   0.857579E+06   0.145792E+08   0.150783E+08   0.150806E+08   0.150786E+08  -0.536111E+00   0.114558E+08   0.114558E+08   0.955797E+00
   0.149202E-02   0.150347E+08   0.150344E+08   0.600698E+06   0.596080E+06   0.144273E+08   0.150319E+08   0.150346E+08   0.150321E+08  -0.534452E+00   0.114205E+08   0.114205E+08   0.104737E+01
   0.166736E-02   0.149810E+08   0.149806E+08   0.411169E+06   0.405733E+06   0.142502E+08   0.149776E+08   0.149809E+08   0.149777E+08  -0.532514E+00   0.113792E+08   0.113792E+08   0.114686E+01
   0.186330E-02   0.149183E+08   0.149179E+08   0.356840E+06   0.346292E+06   0.140459E+08   0.149143E+08   0.149183E+08   0.149144E+08  -0.530259E+00   0.113312E+08   0.113312E+08   0.125491E+01
   0.208228E-02   0.148457E+08   0.148452E+08   0.311987E+06   0.298624E+06   0.138133E+08   0.148409E+08   0.148456E+08   0.148410E+08  -0.527645E+00   0.112755E+08   0.112755E+08   0.137224E+01
   0.232699E-02   0.147617E+08   0.147611E+08   0.204848E+06   0.199631E+06   0.135519E+08   0.147561E+08   0.147616E+08   0.147562E+08  -0.524627E+00   0.112111E+08   0.112111E+08   0.149960E+01
   0.260045E-02   0.146651E+08   0.146643E+08   0.155898E+06   0.157477E+06   0.132623E+08   0.146586E+08   0.146650E+08   0.146586E+08  -0.521157E+00   0.111372E+08   0.111372E+08   0.163777E+01
   0.290605E-02   0.145545E+08   0.145535E+08   0.136515E+06   0.133655E+06   0.129453E+08   0.145470E+08   0.145543E+08   0.145471E+08  -0.517188E+00   0.110526E+08   0.110526E+08   0.178757E+01
   0.324757E-02   0.144287E+08   0.144275E+08   0.927375E+05   0.894479E+05   0.126113E+08   0.144202E+08   0.144285E+08   0.144202E+08  -0.512678E+00   0.109564E+08   0.109564E+08   0.194989E+01
   0.362922E-02   0.142859E+08   0.142844E+08   0.858664E+05   0.800572E+05   0.122402E+08   0.142763E+08   0.142857E+08   0.142764E+08  -0.507562E+00   0.108473E+08   0.108473E+08   0.212559E+01
   0.405572E-02   0.141248E+08   0.141230E+08   0.583086E+05   0.546316E+05   0.118395E+08   0.141141E+08   0.141246E+08   0.141142E+08  -0.501794E+00   0.107244E+08   0.107243E+08   0.231559E+01
   0.453235E-02   0.139440E+08   0.139417E+08   0.462922E+05   0.448326E+05   0.114034E+08   0.139321E+08   0.139437E+08   0.139321E+08  -0.495320E+00   0.105863E+08   0.105863E+08   0.252073E+01
   0.506499E-02   0.137421E+08   0.137393E+08   0.410009E+05   0.366748E+05   0.109375E+08   0.137288E+08   0.137416E+08   0.137289E+08  -0.488094E+00   0.104323E+08   0.104322E+08   0.274182E+01
   0.512158E-02   0.137207E+08   0.137178E+08   0.403479E+05   0.362613E+05   0.108890E+08   0.137073E+08   0.137202E+08   0.137073E+08  -0.487328E+00   0.104159E+08   0.104159E+08   0.276484E+01
   0.517880E-02   0.136990E+08   0.136961E+08   0.390921E+05   0.357141E+05   0.108402E+08   0.136855E+08   0.136986E+08   0.136855E+08  -0.486554E+00   0.103994E+08   0.103994E+08   0.278802E+01
   0.523666E-02   0.136771E+08   0.136742E+08   0.373305E+05   0.350882E+05   0.107911E+08   0.136635E+08   0.136767E+08   0.136635E+08  -0.485771E+00   0.103827E+08   0.103827E+08   0.281136E+01
   0.529517E-02   0.136550E+08   0.136520E+08   0.352668E+05   0.344506E+05   0.107416E+08   0.136413E+08   0.136546E+08   0.136413E+08  -0.484981E+00   0.103659E+08   0.103658E+08   0.283488E+01
   0.535434E-02   0.136327E+08   0.136296E+08   0.331696E+05   0.338738E+05   0.106919E+08   0.136188E+08   0.136322E+08   0.136188E+08  -0.484182E+00   0.103489E+08   0.103488E+08   0.285856E+01
