#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.742832E-04   0.120839E+08   0.120839E+08   0.158701E+08   0.158695E+08   0.120840E+08   0.120839E+08   0.120839E+08   0.120919E+08  -0.573557E+00   0.105840E+08   0.105840E+08   0.823900E-01
   0.830129E-04   0.120837E+08   0.120837E+08   0.158103E+08   0.158095E+08   0.120834E+08   0.120837E+08   0.120837E+08   0.120917E+08  -0.573547E+00   0.105838E+08   0.105838E+08   0.920530E-01
   0.927685E-04   0.120835E+08   0.120835E+08   0.157358E+08   0.157349E+08   0.120827E+08   0.120835E+08   0.120835E+08   0.120915E+08  -0.573534E+00   0.105836E+08   0.105836E+08   0.102844E+00
   0.103671E-03   0.120832E+08   0.120832E+08   0.156433E+08   0.156422E+08   0.120818E+08   0.120832E+08   0.120832E+08   0.120912E+08  -0.573518E+00   0.105834E+08   0.105834E+08   0.114893E+00
   0.115854E-03   0.120829E+08   0.120829E+08   0.155285E+08   0.155271E+08   0.120806E+08   0.120828E+08   0.120829E+08   0.120907E+08  -0.573498E+00   0.105831E+08   0.105831E+08   0.128343E+00
   0.129469E-03   0.120824E+08   0.120824E+08   0.153863E+08   0.153845E+08   0.120792E+08   0.120824E+08   0.120824E+08   0.120902E+08  -0.573473E+00   0.105827E+08   0.105827E+08   0.143353E+00
   0.144684E-03   0.120819E+08   0.120819E+08   0.152103E+08   0.152082E+08   0.120775E+08   0.120819E+08   0.120819E+08   0.120896E+08  -0.573441E+00   0.105823E+08   0.105823E+08   0.160098E+00
   0.161687E-03   0.120812E+08   0.120812E+08   0.149933E+08   0.149906E+08   0.120753E+08   0.120812E+08   0.120812E+08   0.120888E+08  -0.573402E+00   0.105817E+08   0.105817E+08   0.178773E+00
   0.180688E-03   0.120804E+08   0.120804E+08   0.147263E+08   0.147230E+08   0.120726E+08   0.120804E+08   0.120804E+08   0.120879E+08  -0.573354E+00   0.105810E+08   0.105810E+08   0.199587E+00
   0.201923E-03   0.120794E+08   0.120794E+08   0.143991E+08   0.143952E+08   0.120692E+08   0.120793E+08   0.120794E+08   0.120867E+08  -0.573293E+00   0.105801E+08   0.105801E+08   0.222772E+00
