#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.742832E-04   0.199078E+08   0.199078E+08   0.258375E+08   0.258364E+08   0.199066E+08   0.199078E+08   0.199078E+08   0.199144E+08  -0.472254E+00   0.104655E+08   0.104655E+08   0.426426E-01
   0.830129E-04   0.199075E+08   0.199075E+08   0.256640E+08   0.256627E+08   0.199058E+08   0.199075E+08   0.199075E+08   0.199140E+08  -0.472245E+00   0.104653E+08   0.104653E+08   0.476386E-01
   0.927685E-04   0.199071E+08   0.199071E+08   0.254488E+08   0.254472E+08   0.199048E+08   0.199071E+08   0.199071E+08   0.199136E+08  -0.472233E+00   0.104651E+08   0.104651E+08   0.532157E-01
   0.103671E-03   0.199066E+08   0.199066E+08   0.251824E+08   0.251804E+08   0.199036E+08   0.199066E+08   0.199066E+08   0.199130E+08  -0.472218E+00   0.104648E+08   0.104648E+08   0.594399E-01
   0.115854E-03   0.199060E+08   0.199060E+08   0.248533E+08   0.248509E+08   0.199020E+08   0.199060E+08   0.199060E+08   0.199123E+08  -0.472200E+00   0.104645E+08   0.104645E+08   0.663839E-01
   0.129469E-03   0.199052E+08   0.199052E+08   0.244478E+08   0.244449E+08   0.199001E+08   0.199052E+08   0.199052E+08   0.199114E+08  -0.472177E+00   0.104641E+08   0.104641E+08   0.741279E-01
   0.144684E-03   0.199042E+08   0.199042E+08   0.239499E+08   0.239463E+08   0.198976E+08   0.199042E+08   0.199042E+08   0.199103E+08  -0.472148E+00   0.104636E+08   0.104636E+08   0.827598E-01
   0.161687E-03   0.199030E+08   0.199030E+08   0.233412E+08   0.233369E+08   0.198946E+08   0.199030E+08   0.199030E+08   0.199089E+08  -0.472112E+00   0.104629E+08   0.104629E+08   0.923755E-01
   0.180688E-03   0.199015E+08   0.199015E+08   0.226009E+08   0.225957E+08   0.198908E+08   0.199015E+08   0.199015E+08   0.199072E+08  -0.472068E+00   0.104621E+08   0.104621E+08   0.103079E+00
   0.201923E-03   0.198997E+08   0.198997E+08   0.217066E+08   0.217005E+08   0.198861E+08   0.198996E+08   0.198997E+08   0.199051E+08  -0.472014E+00   0.104611E+08   0.104611E+08   0.114982E+00
   0.225652E-03   0.198973E+08   0.198973E+08   0.206355E+08   0.206284E+08   0.198802E+08   0.198973E+08   0.198973E+08   0.199025E+08  -0.471946E+00   0.104599E+08   0.104599E+08   0.128206E+00
