#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.181819E-02   0.120430E+08   0.120426E+08   0.389715E+06   0.385365E+06   0.120051E+08   0.120418E+08   0.120430E+08   0.120420E+08  -0.555640E+00   0.104054E+08   0.104054E+08   0.170250E+01
   0.203187E-02   0.119851E+08   0.119846E+08   0.337830E+06   0.328657E+06   0.119382E+08   0.119836E+08   0.119850E+08   0.119837E+08  -0.552945E+00   0.103550E+08   0.103550E+08   0.186240E+01
   0.227065E-02   0.119180E+08   0.119174E+08   0.297235E+06   0.284616E+06   0.118600E+08   0.119161E+08   0.119179E+08   0.119163E+08  -0.549828E+00   0.102967E+08   0.102967E+08   0.203597E+01
   0.253749E-02   0.118406E+08   0.118398E+08   0.203694E+06   0.198459E+06   0.117692E+08   0.118382E+08   0.118405E+08   0.118384E+08  -0.546230E+00   0.102294E+08   0.102294E+08   0.222432E+01
   0.283570E-02   0.117515E+08   0.117505E+08   0.155281E+06   0.157315E+06   0.116638E+08   0.117487E+08   0.117514E+08   0.117487E+08  -0.542092E+00   0.101520E+08   0.101520E+08   0.242856E+01
   0.316895E-02   0.116495E+08   0.116482E+08   0.136078E+06   0.134149E+06   0.115422E+08   0.116459E+08   0.116493E+08   0.116460E+08  -0.537350E+00   0.100633E+08   0.100633E+08   0.264988E+01
   0.354136E-02   0.115329E+08   0.115314E+08   0.955638E+05   0.932911E+05   0.114023E+08   0.115286E+08   0.115326E+08   0.115286E+08  -0.531933E+00   0.996198E+07   0.996195E+07   0.288951E+01
   0.395753E-02   0.114003E+08   0.113984E+08   0.868416E+05   0.823923E+05   0.112420E+08   0.113950E+08   0.113999E+08   0.113951E+08  -0.525769E+00   0.984669E+07   0.984665E+07   0.314866E+01
   0.442262E-02   0.112500E+08   0.112476E+08   0.608122E+05   0.581211E+05   0.110595E+08   0.112437E+08   0.112496E+08   0.112437E+08  -0.518784E+00   0.971603E+07   0.971598E+07   0.342850E+01
   0.447203E-02   0.112339E+08   0.112315E+08   0.598249E+05   0.575994E+05   0.110400E+08   0.112275E+08   0.112335E+08   0.112275E+08  -0.518037E+00   0.970207E+07   0.970201E+07   0.345767E+01
   0.452200E-02   0.112176E+08   0.112152E+08   0.591190E+05   0.573178E+05   0.110202E+08   0.112111E+08   0.112172E+08   0.112111E+08  -0.517281E+00   0.968793E+07   0.968788E+07   0.348705E+01
   0.457253E-02   0.112012E+08   0.111987E+08   0.585417E+05   0.571091E+05   0.110001E+08   0.111945E+08   0.112008E+08   0.111946E+08  -0.516516E+00   0.967363E+07   0.967357E+07   0.351666E+01
   0.462362E-02   0.111845E+08   0.111820E+08   0.579278E+05   0.568019E+05   0.109798E+08   0.111778E+08   0.111841E+08   0.111778E+08  -0.515742E+00   0.965915E+07   0.965909E+07   0.354648E+01
   0.467527E-02   0.111677E+08   0.111651E+08   0.571253E+05   0.562452E+05   0.109593E+08   0.111608E+08   0.111672E+08   0.111608E+08  -0.514959E+00   0.964450E+07   0.964444E+07   0.357653E+01
   0.472751E-02   0.111506E+08   0.111480E+08   0.560193E+05   0.553300E+05   0.109385E+08   0.111436E+08   0.111502E+08   0.111436E+08  -0.514166E+00   0.962967E+07   0.962961E+07   0.360680E+01
   0.478033E-02   0.111334E+08   0.111307E+08   0.545520E+05   0.540069E+05   0.109175E+08   0.111262E+08   0.111329E+08   0.111263E+08  -0.513364E+00   0.961467E+07   0.961461E+07   0.363729E+01
   0.483374E-02   0.111159E+08   0.111131E+08   0.527341E+05   0.522939E+05   0.108962E+08   0.111086E+08   0.111154E+08   0.111087E+08  -0.512552E+00   0.959948E+07   0.959942E+07   0.366801E+01
   0.488775E-02   0.110982E+08   0.110954E+08   0.506454E+05   0.502751E+05   0.108746E+08   0.110908E+08   0.110978E+08   0.110909E+08  -0.511731E+00   0.958412E+07   0.958406E+07   0.369895E+01
   0.494236E-02   0.110804E+08   0.110775E+08   0.484249E+05   0.480872E+05   0.108528E+08   0.110728E+08   0.110799E+08   0.110729E+08  -0.510900E+00   0.956858E+07   0.956852E+07   0.373012E+01
   0.499758E-02   0.110623E+08   0.110593E+08   0.462489E+05   0.458990E+05   0.108307E+08   0.110546E+08   0.110618E+08   0.110546E+08  -0.510059E+00   0.955286E+07   0.955280E+07   0.376151E+01
