#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.742832E-04   0.153122E+08   0.153122E+08   0.200199E+08   0.200191E+08   0.153121E+08   0.153122E+08   0.153122E+08   0.153199E+08  -0.544987E+00   0.116346E+08   0.116346E+08   0.630874E-01
   0.830129E-04   0.153120E+08   0.153120E+08   0.199220E+08   0.199211E+08   0.153118E+08   0.153120E+08   0.153120E+08   0.153196E+08  -0.544977E+00   0.116344E+08   0.116344E+08   0.704832E-01
   0.927685E-04   0.153117E+08   0.153117E+08   0.198005E+08   0.197993E+08   0.153114E+08   0.153117E+08   0.153117E+08   0.153192E+08  -0.544964E+00   0.116342E+08   0.116342E+08   0.787411E-01
   0.103671E-03   0.153113E+08   0.153113E+08   0.196497E+08   0.196482E+08   0.153109E+08   0.153113E+08   0.153113E+08   0.153188E+08  -0.544948E+00   0.116339E+08   0.116339E+08   0.879595E-01
   0.115854E-03   0.153109E+08   0.153109E+08   0.194628E+08   0.194610E+08   0.153102E+08   0.153109E+08   0.153109E+08   0.153183E+08  -0.544928E+00   0.116336E+08   0.116336E+08   0.982474E-01
   0.129469E-03   0.153103E+08   0.153103E+08   0.192318E+08   0.192296E+08   0.153095E+08   0.153103E+08   0.153103E+08   0.153177E+08  -0.544904E+00   0.116332E+08   0.116332E+08   0.109725E+00
   0.144684E-03   0.153096E+08   0.153096E+08   0.189469E+08   0.189441E+08   0.153085E+08   0.153096E+08   0.153096E+08   0.153169E+08  -0.544873E+00   0.116326E+08   0.116326E+08   0.122525E+00
   0.161687E-03   0.153088E+08   0.153088E+08   0.185966E+08   0.185933E+08   0.153073E+08   0.153088E+08   0.153088E+08   0.153159E+08  -0.544835E+00   0.116320E+08   0.116320E+08   0.136793E+00
   0.180688E-03   0.153077E+08   0.153077E+08   0.181677E+08   0.181636E+08   0.153058E+08   0.153077E+08   0.153077E+08   0.153146E+08  -0.544788E+00   0.116312E+08   0.116312E+08   0.152687E+00
   0.201923E-03   0.153064E+08   0.153064E+08   0.176450E+08   0.176402E+08   0.153039E+08   0.153063E+08   0.153064E+08   0.153131E+08  -0.544729E+00   0.116301E+08   0.116301E+08   0.170379E+00
