#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.742832E-04   0.120833E+08   0.120833E+08   0.158693E+08   0.158687E+08   0.120832E+08   0.120833E+08   0.120833E+08   0.120914E+08  -0.573559E+00   0.105836E+08   0.105836E+08   0.826764E-01
   0.830129E-04   0.120831E+08   0.120831E+08   0.158095E+08   0.158087E+08   0.120830E+08   0.120831E+08   0.120831E+08   0.120912E+08  -0.573549E+00   0.105834E+08   0.105834E+08   0.923731E-01
   0.927685E-04   0.120829E+08   0.120829E+08   0.157350E+08   0.157341E+08   0.120827E+08   0.120829E+08   0.120829E+08   0.120909E+08  -0.573536E+00   0.105833E+08   0.105833E+08   0.103202E+00
   0.103671E-03   0.120826E+08   0.120826E+08   0.156425E+08   0.156413E+08   0.120823E+08   0.120826E+08   0.120826E+08   0.120906E+08  -0.573520E+00   0.105830E+08   0.105830E+08   0.115292E+00
   0.115854E-03   0.120823E+08   0.120823E+08   0.155277E+08   0.155262E+08   0.120818E+08   0.120823E+08   0.120823E+08   0.120902E+08  -0.573500E+00   0.105827E+08   0.105827E+08   0.128789E+00
   0.129469E-03   0.120819E+08   0.120819E+08   0.153854E+08   0.153836E+08   0.120811E+08   0.120819E+08   0.120819E+08   0.120897E+08  -0.573476E+00   0.105824E+08   0.105824E+08   0.143852E+00
   0.144684E-03   0.120814E+08   0.120814E+08   0.152094E+08   0.152073E+08   0.120804E+08   0.120813E+08   0.120814E+08   0.120891E+08  -0.573445E+00   0.105819E+08   0.105819E+08   0.160656E+00
   0.161687E-03   0.120807E+08   0.120807E+08   0.149923E+08   0.149897E+08   0.120794E+08   0.120807E+08   0.120807E+08   0.120883E+08  -0.573407E+00   0.105813E+08   0.105813E+08   0.179396E+00
   0.180688E-03   0.120799E+08   0.120799E+08   0.147253E+08   0.147221E+08   0.120782E+08   0.120799E+08   0.120799E+08   0.120874E+08  -0.573359E+00   0.105806E+08   0.105806E+08   0.200284E+00
   0.201923E-03   0.120789E+08   0.120789E+08   0.143981E+08   0.143942E+08   0.120767E+08   0.120789E+08   0.120789E+08   0.120862E+08  -0.573300E+00   0.105798E+08   0.105798E+08   0.223551E+00
