#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.742832E-04   0.199070E+08   0.199070E+08   0.258363E+08   0.258353E+08   0.199067E+08   0.199070E+08   0.199070E+08   0.199136E+08  -0.472261E+00   0.104654E+08   0.104654E+08   0.427845E-01
   0.830129E-04   0.199067E+08   0.199067E+08   0.256628E+08   0.256615E+08   0.199063E+08   0.199067E+08   0.199067E+08   0.199132E+08  -0.472251E+00   0.104652E+08   0.104652E+08   0.477971E-01
   0.927685E-04   0.199063E+08   0.199063E+08   0.254476E+08   0.254460E+08   0.199058E+08   0.199063E+08   0.199063E+08   0.199128E+08  -0.472239E+00   0.104650E+08   0.104650E+08   0.533928E-01
   0.103671E-03   0.199058E+08   0.199058E+08   0.251812E+08   0.251793E+08   0.199052E+08   0.199058E+08   0.199058E+08   0.199122E+08  -0.472225E+00   0.104648E+08   0.104648E+08   0.596378E-01
   0.115854E-03   0.199052E+08   0.199052E+08   0.248521E+08   0.248497E+08   0.199044E+08   0.199052E+08   0.199052E+08   0.199115E+08  -0.472207E+00   0.104644E+08   0.104644E+08   0.666051E-01
   0.129469E-03   0.199044E+08   0.199044E+08   0.244466E+08   0.244436E+08   0.199034E+08   0.199044E+08   0.199044E+08   0.199106E+08  -0.472184E+00   0.104640E+08   0.104640E+08   0.743752E-01
   0.144684E-03   0.199035E+08   0.199035E+08   0.239487E+08   0.239451E+08   0.199021E+08   0.199035E+08   0.199035E+08   0.199096E+08  -0.472156E+00   0.104635E+08   0.104635E+08   0.830361E-01
   0.161687E-03   0.199023E+08   0.199023E+08   0.233399E+08   0.233356E+08   0.199006E+08   0.199023E+08   0.199023E+08   0.199082E+08  -0.472121E+00   0.104629E+08   0.104629E+08   0.926843E-01
   0.180688E-03   0.199008E+08   0.199008E+08   0.225996E+08   0.225944E+08   0.198986E+08   0.199008E+08   0.199008E+08   0.199065E+08  -0.472078E+00   0.104621E+08   0.104621E+08   0.103424E+00
   0.201923E-03   0.198990E+08   0.198990E+08   0.217053E+08   0.216992E+08   0.198962E+08   0.198990E+08   0.198990E+08   0.199045E+08  -0.472024E+00   0.104611E+08   0.104611E+08   0.115368E+00
   0.225652E-03   0.198967E+08   0.198967E+08   0.206342E+08   0.206271E+08   0.198932E+08   0.198967E+08   0.198967E+08   0.199019E+08  -0.471958E+00   0.104599E+08   0.104599E+08   0.128637E+00
   0.252171E-03   0.198939E+08   0.198939E+08   0.193650E+08   0.193568E+08   0.198895E+08   0.198938E+08   0.198939E+08   0.198988E+08  -0.471876E+00   0.104584E+08   0.104584E+08   0.143358E+00
   0.281806E-03   0.198904E+08   0.198904E+08   0.178813E+08   0.178722E+08   0.198849E+08   0.198903E+08   0.198904E+08   0.198949E+08  -0.471775E+00   0.104565E+08   0.104565E+08   0.159665E+00
   0.314923E-03   0.198861E+08   0.198861E+08   0.161766E+08   0.161668E+08   0.198791E+08   0.198860E+08   0.198861E+08   0.198901E+08  -0.471651E+00   0.104542E+08   0.104542E+08   0.177695E+00
   0.351933E-03   0.198807E+08   0.198807E+08   0.142607E+08   0.142506E+08   0.198720E+08   0.198806E+08   0.198807E+08   0.198843E+08  -0.471501E+00   0.104514E+08   0.104514E+08   0.197588E+00
   0.393291E-03   0.198742E+08   0.198741E+08   0.121679E+08   0.121580E+08   0.198633E+08   0.198740E+08   0.198742E+08   0.198771E+08  -0.471317E+00   0.104478E+08   0.104478E+08   0.219484E+00
   0.439511E-03   0.198661E+08   0.198661E+08   0.996440E+07   0.995574E+07   0.198524E+08   0.198659E+08   0.198661E+08   0.198685E+08  -0.471096E+00   0.104435E+08   0.104435E+08   0.243524E+00
   0.491162E-03   0.198562E+08   0.198562E+08   0.775415E+07   0.774764E+07   0.198392E+08   0.198560E+08   0.198562E+08   0.198580E+08  -0.470829E+00   0.104382E+08   0.104382E+08   0.269847E+00
   0.548882E-03   0.198441E+08   0.198441E+08   0.567583E+07   0.567238E+07   0.198229E+08   0.198439E+08   0.198441E+08   0.198453E+08  -0.470510E+00   0.104318E+08   0.104318E+08   0.298594E+00
