#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.186330E-02   0.149219E+08   0.149215E+08   0.356978E+06   0.346492E+06   0.145165E+08   0.149188E+08   0.149219E+08   0.149189E+08  -0.530447E+00   0.113346E+08   0.113346E+08   0.125737E+01
   0.208228E-02   0.148498E+08   0.148493E+08   0.311998E+06   0.298728E+06   0.143604E+08   0.148460E+08   0.148498E+08   0.148462E+08  -0.527857E+00   0.112794E+08   0.112794E+08   0.137497E+01
   0.232699E-02   0.147664E+08   0.147658E+08   0.204830E+06   0.199716E+06   0.141798E+08   0.147618E+08   0.147663E+08   0.147619E+08  -0.524860E+00   0.112155E+08   0.112154E+08   0.150264E+01
   0.260045E-02   0.146702E+08   0.146694E+08   0.155968E+06   0.157600E+06   0.139728E+08   0.146648E+08   0.146701E+08   0.146648E+08  -0.521405E+00   0.111418E+08   0.111418E+08   0.164113E+01
   0.290605E-02   0.145597E+08   0.145588E+08   0.136569E+06   0.133713E+06   0.137381E+08   0.145533E+08   0.145596E+08   0.145534E+08  -0.517442E+00   0.110573E+08   0.110573E+08   0.179129E+01
   0.324757E-02   0.144335E+08   0.144323E+08   0.927807E+05   0.895102E+05   0.134748E+08   0.144261E+08   0.144334E+08   0.144261E+08  -0.512915E+00   0.109608E+08   0.109607E+08   0.195398E+01
   0.362922E-02   0.142901E+08   0.142886E+08   0.858832E+05   0.800929E+05   0.131826E+08   0.142814E+08   0.142899E+08   0.142815E+08  -0.507772E+00   0.108511E+08   0.108511E+08   0.213010E+01
   0.405572E-02   0.141279E+08   0.141260E+08   0.583218E+05   0.546653E+05   0.128613E+08   0.141180E+08   0.141276E+08   0.141180E+08  -0.501958E+00   0.107271E+08   0.107271E+08   0.232054E+01
   0.453235E-02   0.139458E+08   0.139435E+08   0.462945E+05   0.448410E+05   0.125172E+08   0.139346E+08   0.139455E+08   0.139346E+08  -0.495438E+00   0.105881E+08   0.105880E+08   0.252617E+01
   0.506499E-02   0.137417E+08   0.137389E+08   0.410082E+05   0.366881E+05   0.121342E+08   0.137291E+08   0.137413E+08   0.137291E+08  -0.488131E+00   0.104323E+08   0.104322E+08   0.274777E+01
   0.512158E-02   0.137201E+08   0.137172E+08   0.403499E+05   0.362723E+05   0.120940E+08   0.137073E+08   0.137196E+08   0.137073E+08  -0.487355E+00   0.104157E+08   0.104157E+08   0.277084E+01
   0.517880E-02   0.136982E+08   0.136953E+08   0.390890E+05   0.357226E+05   0.120536E+08   0.136853E+08   0.136977E+08   0.136853E+08  -0.486572E+00   0.103990E+08   0.103990E+08   0.279407E+01
   0.523666E-02   0.136761E+08   0.136731E+08   0.373233E+05   0.350946E+05   0.120128E+08   0.136630E+08   0.136756E+08   0.136630E+08  -0.485780E+00   0.103821E+08   0.103821E+08   0.281747E+01
   0.529517E-02   0.136537E+08   0.136507E+08   0.352571E+05   0.344553E+05   0.119716E+08   0.136405E+08   0.136532E+08   0.136405E+08  -0.484980E+00   0.103651E+08   0.103650E+08   0.284104E+01
   0.535434E-02   0.136311E+08   0.136280E+08   0.331595E+05   0.338776E+05   0.119302E+08   0.136177E+08   0.136306E+08   0.136177E+08  -0.484171E+00   0.103478E+08   0.103478E+08   0.286478E+01
   0.541416E-02   0.136083E+08   0.136051E+08   0.313068E+05   0.334273E+05   0.118883E+08   0.135947E+08   0.136078E+08   0.135948E+08  -0.483354E+00   0.103304E+08   0.103303E+08   0.288868E+01
   0.547465E-02   0.135851E+08   0.135819E+08   0.299198E+05   0.331469E+05   0.118444E+08   0.135714E+08   0.135846E+08   0.135714E+08  -0.482523E+00   0.103127E+08   0.103126E+08   0.291276E+01
   0.553582E-02   0.135618E+08   0.135585E+08   0.291116E+05   0.330412E+05   0.118018E+08   0.135479E+08   0.135613E+08   0.135479E+08  -0.481689E+00   0.102949E+08   0.102948E+08   0.293700E+01
   0.559767E-02   0.135382E+08   0.135349E+08   0.288571E+05   0.330668E+05   0.117589E+08   0.135242E+08   0.135377E+08   0.135242E+08  -0.480845E+00   0.102769E+08   0.102769E+08   0.296141E+01
   0.566022E-02   0.135144E+08   0.135110E+08   0.289961E+05   0.331368E+05   0.117156E+08   0.135002E+08   0.135139E+08   0.135003E+08  -0.479993E+00   0.102587E+08   0.102587E+08   0.298600E+01
   0.572346E-02   0.134904E+08   0.134869E+08   0.292701E+05   0.331367E+05   0.116720E+08   0.134760E+08   0.134898E+08   0.134761E+08  -0.479133E+00   0.102404E+08   0.102403E+08   0.301075E+01
   0.578741E-02   0.134661E+08   0.134625E+08   0.293853E+05   0.329520E+05   0.116280E+08   0.134516E+08   0.134655E+08   0.134516E+08  -0.478263E+00   0.102219E+08   0.102218E+08   0.303568E+01
   0.585207E-02   0.134416E+08   0.134379E+08   0.290896E+05   0.325005E+05   0.115837E+08   0.134269E+08   0.134410E+08   0.134269E+08  -0.477385E+00   0.102031E+08   0.102031E+08   0.306077E+01
   0.591746E-02   0.134168E+08   0.134130E+08   0.282417E+05   0.317597E+05   0.115391E+08   0.134019E+08   0.134162E+08   0.134020E+08  -0.476498E+00   0.101842E+08   0.101842E+08   0.308604E+01
   0.598357E-02   0.133917E+08   0.133879E+08   0.268546E+05   0.307806E+05   0.114941E+08   0.133767E+08   0.133911E+08   0.133768E+08  -0.475602E+00   0.101651E+08   0.101650E+08   0.311148E+01
   0.605043E-02   0.133664E+08   0.133625E+08   0.250993E+05   0.296808E+05   0.114487E+08   0.133513E+08   0.133658E+08   0.133513E+08  -0.474697E+00   0.101458E+08   0.101457E+08   0.313709E+01
   0.611803E-02   0.133409E+08   0.133369E+08   0.232641E+05   0.286166E+05   0.114030E+08   0.133256E+08   0.133403E+08   0.133256E+08  -0.473783E+00   0.101263E+08   0.101263E+08   0.316287E+01
   0.618639E-02   0.133151E+08   0.133110E+08   0.216782E+05   0.277396E+05   0.113569E+08   0.132996E+08   0.133145E+08   0.132996E+08  -0.472859E+00   0.101066E+08   0.101066E+08   0.318882E+01
   0.625551E-02   0.132890E+08   0.132849E+08   0.206193E+05   0.271507E+05   0.113105E+08   0.132734E+08   0.132884E+08   0.132734E+08  -0.471927E+00   0.100868E+08   0.100867E+08   0.321494E+01
   0.632540E-02   0.132627E+08   0.132585E+08   0.202316E+05   0.268651E+05   0.112638E+08   0.132469E+08   0.132621E+08   0.132469E+08  -0.470986E+00   0.100667E+08   0.100666E+08   0.324124E+01
   0.639608E-02   0.132362E+08   0.132318E+08   0.204790E+05   0.268032E+05   0.112167E+08   0.132202E+08   0.132355E+08   0.132202E+08  -0.470035E+00   0.100464E+08   0.100463E+08   0.326770E+01
   0.646754E-02   0.132093E+08   0.132049E+08   0.211507E+05   0.268106E+05   0.111692E+08   0.131932E+08   0.132087E+08   0.131932E+08  -0.469075E+00   0.100259E+08   0.100259E+08   0.329434E+01
   0.653980E-02   0.131822E+08   0.131777E+08   0.219208E+05   0.267067E+05   0.111214E+08   0.131659E+08   0.131815E+08   0.131659E+08  -0.468106E+00   0.100053E+08   0.100052E+08   0.332114E+01
   0.661287E-02   0.131549E+08   0.131503E+08   0.224447E+05   0.263443E+05   0.110733E+08   0.131384E+08   0.131542E+08   0.131384E+08  -0.467127E+00   0.998440E+07   0.998433E+07   0.334812E+01
   0.668676E-02   0.131273E+08   0.131226E+08   0.224656E+05   0.256635E+05   0.110253E+08   0.131106E+08   0.131266E+08   0.131106E+08  -0.466140E+00   0.996337E+07   0.996329E+07   0.337526E+01
   0.676147E-02   0.130994E+08   0.130946E+08   0.218931E+05   0.247162E+05   0.109765E+08   0.130826E+08   0.130987E+08   0.130826E+08  -0.465143E+00   0.994210E+07   0.994202E+07   0.340258E+01
   0.683702E-02   0.130713E+08   0.130664E+08   0.208291E+05   0.236535E+05   0.109274E+08   0.130543E+08   0.130705E+08   0.130543E+08  -0.464136E+00   0.992063E+07   0.992055E+07   0.343006E+01
   0.691341E-02   0.130429E+08   0.130379E+08   0.195278E+05   0.226728E+05   0.108779E+08   0.130257E+08   0.130421E+08   0.130257E+08  -0.463119E+00   0.989896E+07   0.989887E+07   0.345771E+01
   0.699065E-02   0.130142E+08   0.130091E+08   0.183026E+05   0.219461E+05   0.108280E+08   0.129968E+08   0.130134E+08   0.129968E+08  -0.462093E+00   0.987708E+07   0.987699E+07   0.348552E+01
   0.706876E-02   0.129852E+08   0.129800E+08   0.174115E+05   0.215522E+05   0.107779E+08   0.129677E+08   0.129844E+08   0.129677E+08  -0.461057E+00   0.985499E+07   0.985491E+07   0.351350E+01
   0.714774E-02   0.129560E+08   0.129507E+08   0.169644E+05   0.214429E+05   0.107274E+08   0.129383E+08   0.129552E+08   0.129383E+08  -0.460012E+00   0.983270E+07   0.983261E+07   0.354165E+01
   0.722760E-02   0.129265E+08   0.129211E+08   0.168862E+05   0.214583E+05   0.106766E+08   0.129086E+08   0.129257E+08   0.129086E+08  -0.458957E+00   0.981020E+07   0.981011E+07   0.356996E+01
   0.730835E-02   0.128967E+08   0.128912E+08   0.169548E+05   0.213895E+05   0.106254E+08   0.128786E+08   0.128959E+08   0.128787E+08  -0.457892E+00   0.978749E+07   0.978740E+07   0.359844E+01
   0.739001E-02   0.128667E+08   0.128610E+08   0.168986E+05   0.210645E+05   0.105739E+08   0.128484E+08   0.128658E+08   0.128484E+08  -0.456817E+00   0.976457E+07   0.976448E+07   0.362708E+01
   0.747258E-02   0.128364E+08   0.128306E+08   0.165154E+05   0.204238E+05   0.105221E+08   0.128179E+08   0.128355E+08   0.128179E+08  -0.455732E+00   0.974144E+07   0.974135E+07   0.365587E+01
   0.755607E-02   0.128058E+08   0.127998E+08   0.157616E+05   0.195488E+05   0.104700E+08   0.127871E+08   0.128048E+08   0.127871E+08  -0.454638E+00   0.971810E+07   0.971801E+07   0.368483E+01
   0.764050E-02   0.127749E+08   0.127688E+08   0.147729E+05   0.186297E+05   0.104175E+08   0.127561E+08   0.127739E+08   0.127561E+08  -0.453533E+00   0.969455E+07   0.969445E+07   0.371395E+01
   0.772586E-02   0.127437E+08   0.127375E+08   0.138030E+05   0.178809E+05   0.103647E+08   0.127247E+08   0.127428E+08   0.127247E+08  -0.452418E+00   0.967078E+07   0.967068E+07   0.374322E+01
   0.781218E-02   0.127123E+08   0.127060E+08   0.131075E+05   0.174415E+05   0.103116E+08   0.126931E+08   0.127113E+08   0.126931E+08  -0.451294E+00   0.964680E+07   0.964670E+07   0.377265E+01
   0.789947E-02   0.126805E+08   0.126741E+08   0.128241E+05   0.173075E+05   0.102580E+08   0.126611E+08   0.126795E+08   0.126611E+08  -0.450158E+00   0.962259E+07   0.962249E+07   0.380223E+01
   0.798773E-02   0.126485E+08   0.126419E+08   0.129095E+05   0.173304E+05   0.102043E+08   0.126289E+08   0.126475E+08   0.126289E+08  -0.449013E+00   0.959818E+07   0.959807E+07   0.383196E+01
   0.807698E-02   0.126162E+08   0.126095E+08   0.131633E+05   0.172881E+05   0.101502E+08   0.125964E+08   0.126152E+08   0.125964E+08  -0.447858E+00   0.957354E+07   0.957344E+07   0.386184E+01
   0.816722E-02   0.125836E+08   0.125768E+08   0.133318E+05   0.169959E+05   0.100958E+08   0.125637E+08   0.125825E+08   0.125637E+08  -0.446692E+00   0.954869E+07   0.954858E+07   0.389187E+01
   0.825848E-02   0.125507E+08   0.125437E+08   0.132377E+05   0.164037E+05   0.100412E+08   0.125306E+08   0.125496E+08   0.125306E+08  -0.445517E+00   0.952362E+07   0.952351E+07   0.392204E+01
   0.835075E-02   0.125175E+08   0.125104E+08   0.128691E+05   0.156244E+05   0.998615E+07   0.124972E+08   0.125164E+08   0.124972E+08  -0.444330E+00   0.949833E+07   0.949822E+07   0.395236E+01
   0.844405E-02   0.124841E+08   0.124768E+08   0.123739E+05   0.148762E+05   0.993084E+07   0.124636E+08   0.124829E+08   0.124636E+08  -0.443134E+00   0.947282E+07   0.947270E+07   0.398282E+01
   0.853840E-02   0.124503E+08   0.124429E+08   0.119611E+05   0.143636E+05   0.987522E+07   0.124296E+08   0.124492E+08   0.124296E+08  -0.441927E+00   0.944708E+07   0.944696E+07   0.401341E+01
   0.863380E-02   0.124163E+08   0.124087E+08   0.117634E+05   0.141620E+05   0.981930E+07   0.123954E+08   0.124151E+08   0.123954E+08  -0.440710E+00   0.942112E+07   0.942100E+07   0.404415E+01
   0.873027E-02   0.123819E+08   0.123742E+08   0.117413E+05   0.141717E+05   0.976308E+07   0.123609E+08   0.123807E+08   0.123609E+08  -0.439481E+00   0.939494E+07   0.939481E+07   0.407501E+01
   0.882781E-02   0.123473E+08   0.123394E+08   0.116972E+05   0.141739E+05   0.970657E+07   0.123260E+08   0.123461E+08   0.123260E+08  -0.438243E+00   0.936852E+07   0.936840E+07   0.410600E+01
   0.892644E-02   0.123123E+08   0.123043E+08   0.113966E+05   0.139602E+05   0.964976E+07   0.122909E+08   0.123111E+08   0.122909E+08  -0.436994E+00   0.934189E+07   0.934176E+07   0.413712E+01
   0.902618E-02   0.122771E+08   0.122689E+08   0.107324E+05   0.134604E+05   0.959267E+07   0.122554E+08   0.122758E+08   0.122555E+08  -0.435734E+00   0.931502E+07   0.931490E+07   0.416836E+01
   0.912703E-02   0.122415E+08   0.122332E+08   0.982326E+04   0.127887E+05   0.953534E+07   0.122197E+08   0.122402E+08   0.122197E+08  -0.434464E+00   0.928794E+07   0.928780E+07   0.419971E+01
   0.922901E-02   0.122057E+08   0.121972E+08   0.897340E+04   0.121731E+05   0.947769E+07   0.121837E+08   0.122044E+08   0.121837E+08  -0.433182E+00   0.926061E+07   0.926048E+07   0.423119E+01
   0.933212E-02   0.121695E+08   0.121609E+08   0.849997E+04   0.118081E+05   0.941977E+07   0.121473E+08   0.121682E+08   0.121473E+08  -0.431890E+00   0.923306E+07   0.923293E+07   0.426277E+01
   0.943639E-02   0.121331E+08   0.121242E+08   0.852991E+04   0.117241E+05   0.936159E+07   0.121107E+08   0.121317E+08   0.121107E+08  -0.430587E+00   0.920528E+07   0.920514E+07   0.429447E+01
   0.954182E-02   0.120963E+08   0.120873E+08   0.890116E+04   0.117649E+05   0.930314E+07   0.120737E+08   0.120949E+08   0.120737E+08  -0.429273E+00   0.917726E+07   0.917712E+07   0.432626E+01
   0.964844E-02   0.120593E+08   0.120501E+08   0.924943E+04   0.116936E+05   0.924445E+07   0.120365E+08   0.120578E+08   0.120365E+08  -0.427949E+00   0.914901E+07   0.914887E+07   0.435816E+01
   0.975624E-02   0.120219E+08   0.120125E+08   0.924063E+04   0.113595E+05   0.918551E+07   0.119989E+08   0.120204E+08   0.119989E+08  -0.426613E+00   0.912053E+07   0.912038E+07   0.439015E+01
   0.986524E-02   0.119842E+08   0.119746E+08   0.879921E+04   0.108086E+05   0.912633E+07   0.119610E+08   0.119827E+08   0.119610E+08  -0.425266E+00   0.909181E+07   0.909166E+07   0.442222E+01
