#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.742832E-04   0.120833E+08   0.120833E+08   0.158693E+08   0.158687E+08   0.120832E+08   0.120833E+08   0.120833E+08   0.120913E+08  -0.573559E+00   0.105836E+08   0.105836E+08   0.825225E-01
   0.830129E-04   0.120831E+08   0.120831E+08   0.158095E+08   0.158087E+08   0.120829E+08   0.120831E+08   0.120831E+08   0.120911E+08  -0.573549E+00   0.105834E+08   0.105834E+08   0.922012E-01
   0.927685E-04   0.120829E+08   0.120829E+08   0.157350E+08   0.157341E+08   0.120824E+08   0.120829E+08   0.120829E+08   0.120909E+08  -0.573536E+00   0.105832E+08   0.105832E+08   0.103010E+00
   0.103671E-03   0.120826E+08   0.120826E+08   0.156425E+08   0.156414E+08   0.120819E+08   0.120826E+08   0.120826E+08   0.120905E+08  -0.573520E+00   0.105830E+08   0.105830E+08   0.115078E+00
   0.115854E-03   0.120823E+08   0.120823E+08   0.155277E+08   0.155263E+08   0.120812E+08   0.120822E+08   0.120823E+08   0.120902E+08  -0.573500E+00   0.105827E+08   0.105827E+08   0.128549E+00
   0.129469E-03   0.120818E+08   0.120818E+08   0.153854E+08   0.153837E+08   0.120804E+08   0.120818E+08   0.120818E+08   0.120897E+08  -0.573475E+00   0.105823E+08   0.105823E+08   0.143584E+00
   0.144684E-03   0.120813E+08   0.120813E+08   0.152095E+08   0.152073E+08   0.120793E+08   0.120813E+08   0.120813E+08   0.120890E+08  -0.573444E+00   0.105819E+08   0.105819E+08   0.160357E+00
   0.161687E-03   0.120807E+08   0.120807E+08   0.149924E+08   0.149898E+08   0.120780E+08   0.120806E+08   0.120807E+08   0.120883E+08  -0.573406E+00   0.105813E+08   0.105813E+08   0.179061E+00
   0.180688E-03   0.120798E+08   0.120798E+08   0.147254E+08   0.147222E+08   0.120764E+08   0.120798E+08   0.120798E+08   0.120873E+08  -0.573358E+00   0.105806E+08   0.105806E+08   0.199909E+00
   0.201923E-03   0.120788E+08   0.120788E+08   0.143983E+08   0.143943E+08   0.120744E+08   0.120788E+08   0.120788E+08   0.120861E+08  -0.573298E+00   0.105797E+08   0.105797E+08   0.223133E+00
