#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.186330E-02   0.193944E+08   0.193940E+08   0.162767E+06   0.149835E+06   0.189530E+08   0.193910E+08   0.193943E+08   0.193910E+08  -0.459631E+00   0.101928E+08   0.101928E+08   0.838836E+00
   0.208228E-02   0.193005E+08   0.193000E+08   0.623072E+05   0.598001E+05   0.187674E+08   0.192964E+08   0.193004E+08   0.192964E+08  -0.457386E+00   0.101431E+08   0.101431E+08   0.917178E+00
   0.232699E-02   0.191918E+08   0.191912E+08   0.602429E+05   0.591262E+05   0.185525E+08   0.191868E+08   0.191917E+08   0.191868E+08  -0.454788E+00   0.100856E+08   0.100856E+08   0.100222E+01
   0.260045E-02   0.190665E+08   0.190657E+08   0.380479E+05   0.313448E+05   0.183057E+08   0.190606E+08   0.190664E+08   0.190606E+08  -0.451795E+00   0.100193E+08   0.100193E+08   0.109450E+01
   0.290605E-02   0.189227E+08   0.189217E+08   0.218448E+05   0.147066E+05   0.180252E+08   0.189157E+08   0.189225E+08   0.189157E+08  -0.448359E+00   0.994323E+07   0.994322E+07   0.119456E+01
   0.324757E-02   0.187584E+08   0.187572E+08   0.192313E+05   0.884995E+04   0.177094E+08   0.187502E+08   0.187582E+08   0.187502E+08  -0.444436E+00   0.985638E+07   0.985637E+07   0.130298E+01
   0.362922E-02   0.185716E+08   0.185701E+08   0.105885E+05   0.426145E+04   0.173574E+08   0.185622E+08   0.185714E+08   0.185622E+08  -0.439978E+00   0.975769E+07   0.975768E+07   0.142035E+01
   0.405572E-02   0.183605E+08   0.183586E+08   0.182200E+04  -0.440899E+04   0.169682E+08   0.183496E+08   0.183602E+08   0.183496E+08  -0.434939E+00   0.964615E+07   0.964613E+07   0.154728E+01
   0.453235E-02   0.181235E+08   0.181212E+08   0.658460E+04   0.610628E+04   0.165478E+08   0.181112E+08   0.181232E+08   0.181112E+08  -0.429288E+00   0.952105E+07   0.952103E+07   0.168434E+01
   0.506499E-02   0.178579E+08   0.178551E+08   0.498456E+04   0.185733E+05   0.160783E+08   0.178440E+08   0.178575E+08   0.178440E+08  -0.422954E+00   0.938085E+07   0.938082E+07   0.183205E+01
   0.512158E-02   0.178298E+08   0.178269E+08   0.436803E+04   0.183750E+05   0.160290E+08   0.178156E+08   0.178293E+08   0.178157E+08  -0.422282E+00   0.936598E+07   0.936595E+07   0.184742E+01
   0.517880E-02   0.178013E+08   0.177983E+08   0.314575E+04   0.181171E+05   0.159792E+08   0.177870E+08   0.178008E+08   0.177870E+08  -0.421603E+00   0.935095E+07   0.935092E+07   0.186291E+01
   0.523666E-02   0.177725E+08   0.177695E+08   0.159810E+04   0.178869E+05   0.159290E+08   0.177580E+08   0.177720E+08   0.177580E+08  -0.420917E+00   0.933575E+07   0.933572E+07   0.187850E+01
   0.529517E-02   0.177434E+08   0.177403E+08   0.112404E+03   0.177674E+05   0.158784E+08   0.177288E+08   0.177429E+08   0.177288E+08  -0.420223E+00   0.932040E+07   0.932037E+07   0.189421E+01
   0.535434E-02   0.177140E+08   0.177109E+08  -0.923749E+03   0.178192E+05   0.158273E+08   0.176992E+08   0.177135E+08   0.176992E+08  -0.419522E+00   0.930488E+07   0.930485E+07   0.191003E+01
   0.541416E-02   0.176843E+08   0.176811E+08  -0.123488E+04   0.180574E+05   0.157757E+08   0.176693E+08   0.176838E+08   0.176693E+08  -0.418814E+00   0.928921E+07   0.928917E+07   0.192597E+01
   0.547465E-02   0.176541E+08   0.176509E+08  -0.742388E+03   0.184374E+05   0.157219E+08   0.176390E+08   0.176536E+08   0.176390E+08  -0.418094E+00   0.927328E+07   0.927324E+07   0.194202E+01
   0.553582E-02   0.176238E+08   0.176205E+08   0.405794E+03   0.188565E+05   0.156694E+08   0.176084E+08   0.176233E+08   0.176084E+08  -0.417371E+00   0.925726E+07   0.925723E+07   0.195818E+01
   0.559767E-02   0.175931E+08   0.175897E+08   0.187435E+04   0.191753E+05   0.156164E+08   0.175776E+08   0.175926E+08   0.175776E+08  -0.416640E+00   0.924109E+07   0.924106E+07   0.197445E+01
